I_magnitude,period_days,I_band_amplitude,V_minus_I_color,star_type
15.385,3.1259073,0.533,0.7649999999999988,Cepheid
15.328,2.811779,0.636,0.636000000000001,Cepheid
16.301,1.4136043,0.231,0.6900000000000013,Cepheid
15.183,2.9596173,0.259,0.697000000000001,Cepheid
15.29,2.5359015,0.22,0.6780000000000008,Cepheid
14.911,4.6088329,0.355,0.8109999999999999,Cepheid
15.363,4.2226468,0.45,1.0470000000000006,Cepheid
14.57,6.5464473,0.336,0.7359999999999989,Cepheid
13.91,9.6109017,0.498,0.8079999999999998,Cepheid
14.535,6.3756704,0.108,0.8119999999999994,Cepheid
15.036,3.9766665,0.384,0.7160000000000011,Cepheid
16.072,1.8744954,0.633,0.6359999999999992,Cepheid
14.845,4.1678168,0.464,0.7039999999999988,Cepheid
13.731,11.4460178,0.62,0.8100000000000005,Cepheid
15.308,3.0859945,0.414,0.6799999999999997,Cepheid
15.231,3.4171292,0.471,0.7460000000000004,Cepheid
15.254,3.5551747,0.437,0.7969999999999988,Cepheid
15.226,3.200247,0.454,0.8459999999999983,Cepheid
15.284,3.0735156,0.403,0.5909999999999993,Cepheid
15.749,2.3825726,0.419,0.738999999999999,Cepheid
15.226,3.5559869,0.362,0.7539999999999996,Cepheid
16.256,1.6128666,0.62,0.713000000000001,Cepheid
15.033,4.2042147,0.538,0.7210000000000001,Cepheid
15.342,3.3859171,0.298,0.7559999999999985,Cepheid
15.35,2.7079591,0.716,0.6390000000000011,Cepheid
15.12,4.0004529,0.51,0.7330000000000005,Cepheid
14.791,5.9199569,0.554,0.895999999999999,Cepheid
14.093,8.8309672,0.495,0.7970000000000006,Cepheid
14.882,4.4310456,0.604,0.75,Cepheid
14.708,5.0265909,0.553,0.7720000000000002,Cepheid
15.335,3.3540042,0.583,0.7070000000000007,Cepheid
14.28,5.0640578,0.297,0.41999999999999993,Cepheid
15.696,2.5705916,0.395,0.7329999999999988,Cepheid
15.256,3.5911192,0.436,0.7309999999999999,Cepheid
15.006,3.493322,0.532,0.6669999999999998,Cepheid
15.276,3.4896325,0.48,0.7100000000000009,Cepheid
15.973,2.0656322,0.32,0.7080000000000002,Cepheid
14.789,4.6770386,0.51,0.6910000000000007,Cepheid
14.64,4.6750779,0.505,0.7089999999999996,Cepheid
14.467,6.8904449,0.213,0.8360000000000003,Cepheid
14.42,6.6967511,0.386,0.7759999999999998,Cepheid
15.731,5.2619072,0.458,1.4019999999999992,Cepheid
15.117,4.7622116,0.217,0.8789999999999996,Cepheid
14.384,6.5179412,0.548,0.7789999999999999,Cepheid
15.581,2.7317564,0.297,0.7270000000000003,Cepheid
15.546,2.6433569,0.505,0.6850000000000023,Cepheid
15.147,3.8802811,0.42,0.8109999999999999,Cepheid
14.544,5.2850807,0.422,0.8209999999999997,Cepheid
15.699,2.8518898,0.511,0.8420000000000005,Cepheid
15.239,3.606722,0.384,0.7749999999999986,Cepheid
15.361,3.2891043,0.458,0.7569999999999979,Cepheid
14.957,4.9561421,0.559,0.7639999999999993,Cepheid
15.21,4.0986788,0.441,0.8589999999999982,Cepheid
13.91,8.1864915,0.495,0.6899999999999995,Cepheid
14.816,4.6414022,0.533,0.7309999999999999,Cepheid
15.419,3.1089319,0.601,0.7659999999999982,Cepheid
15.22,4.0398801,0.506,0.8019999999999978,Cepheid
15.37,3.3382428,0.353,0.7780000000000005,Cepheid
15.315,3.2143352,0.245,0.7110000000000003,Cepheid
15.861,2.8305808,0.631,0.9929999999999986,Cepheid
14.871,4.6878574,0.469,0.7669999999999995,Cepheid
15.967,2.4723675,0.17,0.8499999999999996,Cepheid
15.238,2.9788508,0.575,0.6290000000000013,Cepheid
15.176,3.5840605,0.47,0.7270000000000003,Cepheid
15.255,3.3408698,0.431,0.7609999999999975,Cepheid
15.448,2.9968039,0.393,0.7369999999999983,Cepheid
15.408,3.1615771,0.247,0.770999999999999,Cepheid
15.473,2.629485,0.658,0.6240000000000006,Cepheid
15.524,3.2717114,0.499,0.817000000000002,Cepheid
15.04,4.2565637,0.356,0.793000000000001,Cepheid
15.329,3.5507114,0.367,0.7749999999999986,Cepheid
14.931,4.2899938,0.508,0.7120000000000015,Cepheid
14.145,7.3989255,0.546,0.6660000000000004,Cepheid
14.883,4.7254151,0.544,0.7570000000000014,Cepheid
15.354,3.2408617,0.486,0.7510000000000012,Cepheid
15.479,3.1093417,0.468,0.7280000000000015,Cepheid
15.499,2.9518477,0.518,0.682999999999998,Cepheid
16.228,1.7272543,0.49,0.6189999999999998,Cepheid
15.371,3.0465005,0.373,0.7320000000000011,Cepheid
15.488,3.109472,0.439,0.7779999999999987,Cepheid
15.056,4.487476,0.213,0.8240000000000016,Cepheid
13.478,14.2163668,0.69,0.9199999999999999,Cepheid
15.571,3.0307368,0.402,0.7870000000000008,Cepheid
15.909,2.8744751,0.344,0.9260000000000002,Cepheid
14.647,6.1365727,0.299,0.8189999999999991,Cepheid
13.55,11.6706528,0.539,0.7059999999999995,Cepheid
14.393,6.4817447,0.509,0.7579999999999991,Cepheid
16.532,3.412065,0.486,1.3589999999999982,Cepheid
14.374,6.9266737,0.383,0.7949999999999999,Cepheid
14.638,4.750641,0.463,0.6989999999999998,Cepheid
14.706,5.3222287,0.34,0.7540000000000013,Cepheid
14.784,6.6033602,0.331,0.9559999999999995,Cepheid
15.436,3.0179926,0.462,0.7469999999999999,Cepheid
14.765,4.8101834,0.514,0.7219999999999995,Cepheid
14.055,9.5692791,0.489,0.9030000000000005,Cepheid
15.58,3.4819453,0.403,0.8890000000000011,Cepheid
